Day,Media,Minutes,x
Monday,Adobe Illustrator,60,0
Monday,Adobe Indesign,0,60
Monday,Micro Office,60,60
Monday,Sublime,0,120
Monday,Book,60,120
Monday,Chrome,60,180
Monday,Gmail,10,240
Monday,Wechat,30,250
Monday,Facebook,30,280
Monday,Phone,20,310
Tuesday,Adobe Illustrator,180,0
Tuesday,Adobe Indesign,120,180
Tuesday,Micro Office,120,300
Tuesday,Sublime,0,420
Tuesday,Book,60,420
Tuesday,Chrome,120,480
Tuesday,Gmail,10,600
Tuesday,Wechat,10,610
Tuesday,Facebook,30,620
Tuesday,Phone,30,650
Wednesday,Adobe Illustrator,0,0
Wednesday,Adobe Indesign,0,0
Wednesday,Micro Office,15,0
Wednesday,Sublime,60,15
Wednesday,Book,0,75
Wednesday,Chrome,15,75
Wednesday,Gmail,10,90
Wednesday,Wechat,15,100
Wednesday,Facebook,20,115
Wednesday,Phone,20,135
Thursday,Adobe Illustrator,30,0
Thursday,Adobe Indesign,60,30
Thursday,Micro Office,30,90
Thursday,Sublime,60,120
Thursday,Book,0,180
Thursday,Chrome,60,180
Thursday,Gmail,10,240
Thursday,Wechat,10,250
Thursday,Facebook,20,260
Thursday,Phone,20,280
Friday,Adobe Illustrator,0,0
Friday,Adobe Indesign,20,0
Friday,Micro Office,0,20
Friday,Sublime,90,20
Friday,Book,20,110
Friday,Chrome,20,130
Friday,Gmail,30,150
Friday,Wechat,10,180
Friday,Facebook,20,190
Friday,Phone,40,210
Saturday,Adobe Illustrator,30,0
Saturday,Adobe Indesign,90,30
Saturday,Micro Office,0,120
Saturday,Sublime,0,120
Saturday,Book,90,120
Saturday,Chrome,30,210
Saturday,Gmail,10,240
Saturday,Wechat,10,250
Saturday,Facebook,30,260
Saturday,Phone,30,290
Sunday,Adobe Illustrator,120,0
Sunday,Adobe Indesign,0,120
Sunday,Micro Office,0,120
Sunday,Sublime,0,120
Sunday,Book,150,120
Sunday,Chrome,60,270
Sunday,Gmail,0,330
Sunday,Wechat,15,330
Sunday,Facebook,30,345
Sunday,Phone,15,375
